key,notes,en,zh-Hans,zh-Hant,ja,ko,fr,de,es
"ui.play","Placeholder translation - needs native review","Deploy","部署","部署","展開","배치","Deployer","Einsetzen","Desplegar"
"ui.continue","Placeholder translation - needs native review","Continue","继续","繼續","続行","계속","Continuer","Fortfahren","Continuar"
"ui.new_game","Placeholder translation - needs native review","New Run","新一轮","新一輪","新規ラン","새 실행","Nouvelle partie","Neuer Lauf","Nueva partida"
"ui.settings","Placeholder translation - needs native review","Settings","设置","設定","設定","설정","Parametres","Einstellungen","Ajustes"
"ui.quit","Placeholder translation - needs native review","Quit","退出","退出","終了","종료","Quitter","Beenden","Salir"
"ui.back","Placeholder translation - needs native review","Back","返回","返回","戻る","뒤로","Retour","Zurueck","Atras"
"ui.confirm","Placeholder translation - needs native review","Confirm","确认","確認","確定","확인","Confirmer","Bestaetigen","Confirmar"
"ui.cancel","Placeholder translation - needs native review","Cancel","取消","取消","キャンセル","취소","Annuler","Abbrechen","Cancelar"
"ui.apply","Placeholder translation - needs native review","Apply","应用","套用","適用","적용","Appliquer","Anwenden","Aplicar"
"ui.language","Placeholder translation - needs native review","Language","语言","語言","言語","언어","Langue","Sprache","Idioma"
"ui.audio","Placeholder translation - needs native review","Audio","音频","音訊","オーディオ","오디오","Audio","Audio","Audio"
"ui.video","Placeholder translation - needs native review","Video","视频","視訊","ビデオ","비디오","Video","Video","Video"
"ui.controls","Placeholder translation - needs native review","Controls","控制","控制","操作","조작","Commandes","Steuerung","Controles"
"ui.credits","Placeholder translation - needs native review","Credits","制作名单","製作名單","クレジット","크레딧","Credits","Credits","Creditos"
"menu.title","Brand title - verify casing before release","Last Kernel","Last Kernel","Last Kernel","Last Kernel","Last Kernel","Last Kernel","Last Kernel","Last Kernel"
"menu.subtitle","Placeholder translation - needs native review","Hold the bunker. Stack the future.","守住地堡，堆起未来。","守住地堡，堆起未來。","バンカーを守り、未来を積み上げろ。","벙커를 지키고 미래를 쌓아 올리세요.","Tenez le bunker. Empilez l avenir.","Haltet den Bunker. Stapelt die Zukunft.","Defiende el bunker. Apila el futuro."
"menu.start_run","Placeholder translation - needs native review","Start Run","开始行动","開始行動","ラン開始","실행 시작","Lancer une partie","Lauf starten","Iniciar partida"
"menu.load_run","Placeholder translation - needs native review","Load Run","载入行动","載入行動","ランをロード","실행 불러오기","Charger une partie","Lauf laden","Cargar partida"
